sale_id;date;manager;shop;product;brand;count;price;discount;sum
1;29.07.2019;Linda;Jam;HP 250 G7;HP ;2;520;52;936
2;22.08.2019;John;Star market;MSI Modern 14;MSI ;1;600;0;600
3;02.06.2019;John;Cristal;HP Pavilion Gaming 15;HP ;3;550;55;1485
4;05.10.2019;John;Jam;Lenovo IdeaPad L340;Lenovo ;3;380;0;1140
5;11.01.2019;John;Star market;Apple MacBook Pro;Apple ;4;1700;17;6732
6;15.04.2019;Anna;Cristal;Lenovo IdeaPad S145;Lenovo ;2;400;0;800
7;22.08.2019;John;Star market;Dell Inspiron;Dell ;2;700;0;1400
8;11.10.2019;Paul;Star market;HP Pavilion Gaming 15;HP ;4;550;0;2200
9;08.05.2019;Andrey;Cristal;HP Pavilion Gaming 15;HP ;1;550;0;550
10;22.07.2019;Anna;Star market;Dell Vostro 15;Dell ;1;725;0;725
11;19.12.2019;Andrey;Jam;MSI GF75 Thin;MSI ;3;600;0;1800
12;22.07.2019;Linda;Star market;Lenovo Y740;Lenovo ;4;500;0;2000
13;24.12.2019;Andrey;Star market;Dell Vostro 15;Dell ;5;725;21,75;3516,25
14;19.01.2019;Linda;Cristal;Lenovo IdeaPad S145;Lenovo ;1;400;0;400
15;24.12.2019;Olga;Star market;MSI Modern 14;MSI ;4;600;30;2280
16;20.06.2019;Linda;Jam;Apple MacBook Pro;Apple ;4;1700;0;6800
17;23.10.2019;Linda;Cristal;HP Pavilion Gaming 15;HP ;5;550;55;2475
18;18.09.2019;Andrey;Star market;Apple MacBook Pro;Apple ;4;1700;0;6800
19;19.03.2019;Linda;Jam;Asus X543MA;Asus ;4;880;0;3520
20;18.02.2019;John;Cristal;Acer Swift 3;Acer ;2;500;25;950
21;20.01.2019;Robert;Star market;Prestigio SmartBook 141;Prestigio ;3;475;47,5;1282,5
22;30.10.2019;Andrey;Cristal;HP 250 G7;HP ;5;520;0;2600
23;13.03.2019;John;Jam;Lenovo IdeaPad L340;Lenovo ;5;380;0;1900
24;13.03.2019;Paul;Cristal;Asus X407MA-BV;Asus ;2;850;0;1700
25;05.05.2019;Anna;Star market;MSI Modern 14;MSI ;5;600;0;3000
26;02.01.2019;Olga;Cristal;HP Pavilion Gaming 15;HP ;1;550;0;550
27;29.06.2019;Anna;Jam;HP Pavilion Gaming 15;HP ;2;550;0;1100
28;25.09.2019;Linda;Cristal;Acer Aspire 5;Acer ;2;550;0;1100
29;21.08.2019;Olga;Star market;MSI Modern 14;MSI ;4;600;0;2400
30;09.12.2019;Olga;Star market;MSI Modern 14;MSI ;2;600;0;1200
31;13.07.2019;Anna;Star market;Lenovo Y740;Lenovo ;2;500;0;1000
32;03.02.2019;Andrey;Jam;Lenovo Y740;Lenovo ;4;500;0;2000
33;11.04.2019;Paul;Jam;Asus X407MA-BV;Asus ;4;850;0;3400
34;04.01.2019;Linda;Cristal;Asus X407MA-BV;Asus ;2;850;0;1700
35;04.01.2019;Anna;Star market;HP Pavilion Gaming 15;HP ;3;550;0;1650
36;30.04.2019;Olga;Jam;Prestigio SmartBook 141;Prestigio ;1;475;0;475
37;06.05.2019;Anna;Jam;MSI GF75 Thin;MSI ;2;600;0;1200
38;01.03.2019;Linda;Star market;Lenovo Y740;Lenovo ;1;500;0;500
39;22.12.2019;John;Jam;Lenovo Y740;Lenovo ;3;500;0;1500
40;27.10.2019;John;Jam;Lenovo IdeaPad S145;Lenovo ;3;400;0;1200
41;08.01.2019;Paul;Jam;Lenovo IdeaPad S145;Lenovo ;4;400;0;1600
42;13.05.2019;Andrey;Jam;MSI GF75 Thin;MSI ;2;600;0;1200
43;01.04.2019;Anna;Cristal;Dell Inspiron;Dell ;1;700;0;700
44;16.03.2019;John;Cristal;Lenovo IdeaPad L340;Lenovo ;1;380;0;380
45;22.07.2019;Olga;Jam;HP Pavilion Gaming 15;HP ;5;550;0;2750
46;28.05.2019;Linda;Jam;Acer Swift 3;Acer ;5;500;0;2500
47;17.11.2019;Andrey;Jam;Dell Inspiron;Dell ;5;700;21;3395
48;23.08.2019;Andrey;Cristal;Lenovo IdeaPad S145;Lenovo ;1;400;0;400
49;12.06.2019;Robert;Star market;MSI GF75 Thin;MSI ;5;600;30;2850
50;14.07.2019;Anna;Star market;Apple MacBook Pro;Apple ;5;1700;0;8500
51;18.05.2019;Paul;Cristal;HP 250 G7;HP ;4;520;0;2080
52;03.05.2019;Robert;Star market;Lenovo IdeaPad S145;Lenovo ;2;400;0;800
