id	date	manager_id	shop	refund	refund_sum	product	price	count	summ	discount
1	2019-10-11	Julia	MarketStar	FALSE	0	product_Y	236	3	708	0
1	2019-10-11	Julia	MarketStar	FALSE	0	product_D	330	4	1226	7.1201415825635195
1	2019-10-11	Julia	MarketStar	FALSE	0	product_T	323	4	1222	5.3934467933140695
1	2019-10-11	Julia	MarketStar	FALSE	0	product_I	399	4	1596	0
1	2019-10-11	Julia	MarketStar	FALSE	0	product_R	333	4	1332	0
2	2019-06-01	Tom	MarketStar	FALSE	0	product_E	221	3	663	0
2	2019-06-01	Tom	MarketStar	FALSE	0	product_N	259	4	1036	0
2	2019-06-01	Tom	MarketStar	FALSE	0	product_L	261	3	783	0
2	2019-06-01	Tom	MarketStar	FALSE	0	product_M	214	3	642	0
2	2019-06-01	Tom	MarketStar	FALSE	0	product_G	147	4	588	0
3	2019-03-15	Jack	WhiteShop	FALSE	0	product_K	227	5	1014	10.683380123227835
3	2019-03-15	Jack	WhiteShop	FALSE	0	product_D	330	5	1650	0
4	2019-03-16	Julia	Elixir	FALSE	0	product_G	147	2	252	14.248594883829355
4	2019-03-16	Julia	Elixir	TRUE	592	product_A	250	3	658	12.212944831699133
4	2019-03-16	Julia	Elixir	FALSE	0	product_Z	141	4	564	0
4	2019-03-16	Julia	Elixir	FALSE	0	product_U	151	4	604	0
5	2019-11-30	Eric	WhiteShop	FALSE	0	product_I	399	6	2394	0
5	2019-11-30	Eric	WhiteShop	FALSE	0	product_F	186	3	558	0
5	2019-11-30	Eric	WhiteShop	FALSE	0	product_S	372	4	1488	0
5	2019-11-30	Eric	WhiteShop	FALSE	0	product_T	323	4	1292	0
5	2019-11-30	Eric	WhiteShop	FALSE	0	product_Q	245	3	735	0
5	2019-11-30	Eric	WhiteShop	FALSE	0	product_O	281	4	964	14.24317833269015
6	2019-05-22	Tim	MarketStar	FALSE	0	product_S	372	4	1488	0
6	2019-05-22	Tim	MarketStar	FALSE	0	product_A	250	4	1000	0
6	2019-05-22	Tim	MarketStar	FALSE	0	product_O	281	3	843	0
6	2019-05-22	Tim	MarketStar	FALSE	0	product_T	323	3	969	0
6	2019-05-22	Tim	MarketStar	FALSE	0	product_Z	141	4	480	14.91449868073687
6	2019-05-22	Tim	MarketStar	FALSE	0	product_V	381	3	1143	0
7	2019-06-05	Eric	Elixir	FALSE	0	product_G	147	3	441	0
8	2019-04-20	Bill	MarketStar	FALSE	0	product_C	319	4	1276	0
8	2019-04-20	Bill	MarketStar	FALSE	0	product_J	390	5	1777	8.88667911523953
8	2019-04-20	Bill	MarketStar	FALSE	0	product_O	281	5	1405	0
9	2019-09-11	Anna	MarketStar	TRUE	965	product_Q	245	5	1072	12.46509586693719
10	2019-08-29	Eric	Elixir	FALSE	0	product_M	214	4	856	0
10	2019-08-29	Eric	Elixir	FALSE	0	product_O	281	4	983	12.578233380336314
11	2019-02-08	Eric	BrandShop	FALSE	0	product_M	214	4	856	0
11	2019-02-08	Eric	BrandShop	FALSE	0	product_T	323	4	1159	10.2721012593247
11	2019-02-08	Eric	BrandShop	FALSE	0	product_A	250	4	1000	0
11	2019-02-08	Eric	BrandShop	FALSE	0	product_J	390	4	1560	0
